,device_sn,when_captured
0,Solarcast #30000,2020-04-17 14:55:22+00:00
1,Solarcast #30000,2020-04-17 15:29:47+00:00
2,Solarcast #30000,2020-04-17 16:39:11+00:00
3,Solarcast #30000,2020-04-17 17:38:13+00:00
4,Solarcast #30000,2020-04-17 18:07:07+00:00
5,Solarcast #30000,2020-04-17 18:56:11+00:00
6,Solarcast #30000,2020-04-17 19:24:28+00:00
7,Solarcast #30000,2020-04-17 20:27:10+00:00
8,Solarcast #30000,2020-04-17 21:29:47+00:00
9,Solarcast #30000,2020-04-17 22:23:24+00:00
10,Solarcast #30000,2020-04-17 22:58:01+00:00
11,Solarcast #30000,2020-04-18 00:02:15+00:00
12,Solarcast #30000,2020-04-18 01:08:14+00:00
13,Solarcast #30000,2020-04-18 01:54:36+00:00
14,Solarcast #30000,2020-04-18 02:47:12+00:00
15,Solarcast #30000,2020-04-18 03:27:07+00:00
16,Solarcast #30000,2020-04-18 04:38:51+00:00
17,Solarcast #30000,2020-04-18 05:48:52+00:00
18,Solarcast #30000,2020-04-18 06:46:48+00:00
19,Solarcast #30000,2020-04-18 08:01:20+00:00
20,Solarcast #30000,2020-04-18 09:01:48+00:00
21,Solarcast #30000,2020-04-18 09:43:13+00:00
22,Solarcast #30000,2020-04-18 10:04:14+00:00
23,Solarcast #30000,2020-04-18 11:04:25+00:00
24,Solarcast #30000,2020-04-18 12:28:01+00:00
25,Solarcast #30000,2020-04-18 13:19:00+00:00
26,Solarcast #30000,2020-04-18 14:31:21+00:00
27,Solarcast #30000,2020-04-18 15:37:06+00:00
28,Solarcast #30000,2020-04-18 16:14:24+00:00
29,Solarcast #30000,2020-04-18 17:24:24+00:00
30,Solarcast #30000,2020-04-18 18:29:46+00:00
31,Solarcast #30000,2020-04-18 19:44:47+00:00
32,Solarcast #30000,2020-04-18 20:41:54+00:00
33,Solarcast #30000,2020-04-18 21:51:23+00:00
34,Solarcast #30000,2020-04-18 22:39:26+00:00
228,Solarcast #30001,2020-04-01 12:59:00+00:00
235,Solarcast #30001,2020-04-01 14:20:48+00:00
244,Solarcast #30001,2020-04-01 16:19:00+00:00
250,Solarcast #30001,2020-04-01 17:39:41+00:00
258,Solarcast #30001,2020-04-01 19:20:27+00:00
265,Solarcast #30001,2020-04-01 20:54:38+00:00
275,Solarcast #30001,2020-04-01 22:22:21+00:00
283,Solarcast #30001,2020-04-02 00:26:32+00:00
1806,Solarcast #30001,2020-04-14 02:09:53+00:00
1814,Solarcast #30001,2020-04-14 03:07:01+00:00
1826,Solarcast #30001,2020-04-14 04:55:13+00:00
1836,Solarcast #30001,2020-04-14 06:28:34+00:00
1854,Solarcast #30001,2020-04-14 09:15:39+00:00
1864,Solarcast #30001,2020-04-14 10:49:13+00:00
1877,Solarcast #30001,2020-04-14 12:42:13+00:00
1879,Solarcast #30001,2020-04-14 13:20:40+00:00
1880,Solarcast #30001,2020-04-14 14:04:24+00:00
1883,Solarcast #30001,2020-04-14 14:32:06+00:00
1886,Solarcast #30001,2020-04-14 14:58:39+00:00
3376,Solarcast #30002,2020-04-06 07:29:39+00:00
3382,Solarcast #30002,2020-04-06 08:39:39+00:00
3385,Solarcast #30002,2020-04-06 09:53:04+00:00
3386,Solarcast #30002,2020-04-06 10:20:07+00:00
3387,Solarcast #30002,2020-04-06 11:35:07+00:00
3388,Solarcast #30002,2020-04-06 11:35:08+00:00
3389,Solarcast #30002,2020-04-06 12:50:07+00:00
3390,Solarcast #30002,2020-04-06 14:05:07+00:00
3391,Solarcast #30002,2020-04-06 15:20:07+00:00
3392,Solarcast #30002,2020-04-06 16:35:07+00:00
3393,Solarcast #30002,2020-04-06 17:50:10+00:00
3394,Solarcast #30002,2020-04-06 19:05:07+00:00
3406,Solarcast #30002,2020-04-06 21:39:37+00:00
3413,Solarcast #30002,2020-04-06 23:19:13+00:00
3419,Solarcast #30002,2020-04-07 01:05:53+00:00
3420,Solarcast #30002,2020-04-07 01:35:07+00:00
3428,Solarcast #30002,2020-04-07 05:05:09+00:00
3437,Solarcast #30002,2020-04-07 07:25:08+00:00
3439,Solarcast #30002,2020-04-07 08:38:00+00:00
3452,Solarcast #30002,2020-04-07 10:35:37+00:00
3455,Solarcast #30002,2020-04-07 12:07:59+00:00
3458,Solarcast #30002,2020-04-07 13:39:38+00:00
3468,Solarcast #30002,2020-04-07 15:14:16+00:00
3476,Solarcast #30002,2020-04-07 17:04:35+00:00
4079,Solarcast #30002,2020-04-13 08:48:45+00:00
4085,Solarcast #30002,2020-04-13 10:01:57+00:00
4089,Solarcast #30002,2020-04-13 10:45:49+00:00
4094,Solarcast #30002,2020-04-13 11:46:47+00:00
4100,Solarcast #30002,2020-04-13 13:00:54+00:00
4105,Solarcast #30002,2020-04-13 14:10:14+00:00
5177,Solarcast #30003,2020-04-02 12:12:16+00:00
5184,Solarcast #30003,2020-04-02 13:23:25+00:00
5185,Solarcast #30003,2020-04-02 14:32:16+00:00
5186,Solarcast #30003,2020-04-02 14:32:39+00:00
5197,Solarcast #30003,2020-04-02 18:17:38+00:00
5208,Solarcast #30003,2020-04-02 22:02:39+00:00
5224,Solarcast #30003,2020-04-03 01:33:22+00:00
5230,Solarcast #30003,2020-04-03 03:06:20+00:00
5231,Solarcast #30003,2020-04-03 03:47:55+00:00
5233,Solarcast #30003,2020-04-03 04:02:39+00:00
5681,Solarcast #30003,2020-04-08 14:36:59+00:00
5692,Solarcast #30003,2020-04-08 18:21:59+00:00
5698,Solarcast #30003,2020-04-08 20:51:52+00:00
5704,Solarcast #30003,2020-04-08 23:21:59+00:00
5711,Solarcast #30003,2020-04-09 01:36:59+00:00
5713,Solarcast #30003,2020-04-09 01:47:53+00:00
5717,Solarcast #30003,2020-04-09 02:33:00+00:00
5721,Solarcast #30003,2020-04-09 03:30:17+00:00
5727,Solarcast #30003,2020-04-09 04:37:47+00:00
5730,Solarcast #30003,2020-04-09 05:17:52+00:00
5735,Solarcast #30003,2020-04-09 06:11:46+00:00
5741,Solarcast #30003,2020-04-09 07:36:12+00:00
5744,Solarcast #30003,2020-04-09 08:31:46+00:00
5745,Solarcast #30003,2020-04-09 09:06:54+00:00
5746,Solarcast #30003,2020-04-09 09:06:59+00:00
5757,Solarcast #30003,2020-04-09 12:51:59+00:00
5759,Solarcast #30003,2020-04-09 14:06:59+00:00
5762,Solarcast #30003,2020-04-09 14:34:47+00:00
5768,Solarcast #30003,2020-04-09 15:42:41+00:00
5773,Solarcast #30003,2020-04-09 16:47:42+00:00
5779,Solarcast #30003,2020-04-09 17:54:19+00:00
5783,Solarcast #30003,2020-04-09 18:41:57+00:00
5826,Solarcast #30003,2020-04-10 04:57:40+00:00
5827,Solarcast #30003,2020-04-10 05:41:59+00:00
5828,Solarcast #30003,2020-04-10 06:06:59+00:00
5829,Solarcast #30003,2020-04-10 07:21:59+00:00
5835,Solarcast #30003,2020-04-10 09:51:59+00:00
5836,Solarcast #30003,2020-04-10 11:06:59+00:00
5837,Solarcast #30003,2020-04-10 12:21:59+00:00
5953,Solarcast #30003,2020-04-12 14:57:07+00:00
5958,Solarcast #30003,2020-04-12 15:55:15+00:00
5966,Solarcast #30003,2020-04-13 03:10:14+00:00
5967,Solarcast #30003,2020-04-13 03:10:16+00:00
5976,Solarcast #30003,2020-04-13 13:54:50+00:00
5982,Solarcast #30003,2020-04-13 15:10:55+00:00
5989,Solarcast #30003,2020-04-13 16:40:13+00:00
5996,Solarcast #30003,2020-04-13 18:08:43+00:00
6002,Solarcast #30003,2020-04-13 19:19:24+00:00
6008,Solarcast #30003,2020-04-13 20:30:47+00:00
6033,Solarcast #30003,2020-04-14 02:25:13+00:00
6041,Solarcast #30003,2020-04-14 03:58:42+00:00
6047,Solarcast #30003,2020-04-14 05:27:13+00:00
6055,Solarcast #30003,2020-04-14 07:05:49+00:00
6061,Solarcast #30003,2020-04-14 08:19:13+00:00
6068,Solarcast #30003,2020-04-14 09:54:36+00:00
6071,Solarcast #30003,2020-04-14 11:27:13+00:00
6072,Solarcast #30003,2020-04-14 11:33:10+00:00
6073,Solarcast #30003,2020-04-14 12:43:10+00:00
6075,Solarcast #30003,2020-04-14 13:43:37+00:00
6077,Solarcast #30003,2020-04-14 13:54:52+00:00
6084,Solarcast #30003,2020-04-14 15:13:33+00:00
6090,Solarcast #30003,2020-04-14 16:34:26+00:00
6098,Solarcast #30003,2020-04-14 18:19:11+00:00
6106,Solarcast #30003,2020-04-14 20:01:05+00:00
6112,Solarcast #30003,2020-04-14 21:20:39+00:00
6119,Solarcast #30003,2020-04-14 22:54:39+00:00
6128,Solarcast #30003,2020-04-15 00:44:51+00:00
6135,Solarcast #30003,2020-04-15 02:01:05+00:00
6744,Solarcast #30006,2020-04-01 02:06:40+00:00
6748,Solarcast #30006,2020-04-01 03:55:39+00:00
6749,Solarcast #30006,2020-04-01 04:01:40+00:00
6811,Solarcast #30006,2020-04-02 03:46:40+00:00
6812,Solarcast #30006,2020-04-02 05:01:40+00:00
6813,Solarcast #30006,2020-04-02 06:16:51+00:00
6815,Solarcast #30006,2020-04-02 07:16:40+00:00
6937,Solarcast #30006,2020-04-04 17:01:41+00:00
6938,Solarcast #30006,2020-04-04 21:46:42+00:00
6939,Solarcast #30006,2020-04-05 02:46:43+00:00
6940,Solarcast #30006,2020-04-05 04:01:41+00:00
6985,Solarcast #30006,2020-04-05 20:01:42+00:00
6987,Solarcast #30006,2020-04-05 21:01:41+00:00
6994,Solarcast #30006,2020-04-05 22:27:21+00:00
6995,Solarcast #30006,2020-04-05 23:42:21+00:00
6996,Solarcast #30006,2020-04-06 00:58:58+00:00
7005,Solarcast #30006,2020-04-06 02:56:04+00:00
7013,Solarcast #30006,2020-04-06 04:42:20+00:00
7019,Solarcast #30006,2020-04-06 05:58:58+00:00
