"service_uploaded","device_urn","loc_lat","loc_lon","env_temp","env_humid","pms_pm01_0","pms_pm02_5","pms_pm10_0"
"Jun 14, 2020 @ 07:41:40.000","safecast:3714913954","52.395","4.875",,,20,34,41
"Jun 14, 2020 @ 07:40:06.000","safecast:678194983","46.555","15.636",,,13,16,17
"Jun 14, 2020 @ 07:13:22.000","note:dev:865284040070801","34.199","-118.14",,,"0.53","0.9","2.05"
"Jun 14, 2020 @ 07:13:17.000","note:dev:865284040070801","34.199","-118.14",,,"0.7","1.38","1.55"
"Jun 14, 2020 @ 07:11:36.000","safecast:3714913954","52.395","4.875",,,24,40,48
"Jun 14, 2020 @ 07:10:06.000","safecast:678194983","46.555","15.636",,,11,14,14
"Jun 14, 2020 @ 07:01:34.000","note:dev:865284040097945","34.122","-118.261",,,"5.53","9.8","11.75"
"Jun 14, 2020 @ 07:01:28.000","note:dev:865284040097945","34.122","-118.261",,,"3.78","6.03","6.48"
"Jun 14, 2020 @ 06:51:47.000","note:dev:865284040095238","34.122","-118.261",,,"4.88","10.3","12.43"
"Jun 14, 2020 @ 06:51:41.000","note:dev:865284040095238","34.122","-118.261",,,"2.05","5.13","5.8"
"Jun 14, 2020 @ 06:43:28.000","note:dev:865284040083945","35.665","139.705",,,"18.88","28.93","33.65"
"Jun 14, 2020 @ 06:43:23.000","note:dev:865284040083945","35.665","139.705",,,"20.48","32.73","40.4"
"Jun 14, 2020 @ 06:41:40.000","safecast:3714913954","52.395","4.875",,,22,37,44
"Jun 14, 2020 @ 06:40:06.000","safecast:678194983","46.555","15.636",,,12,15,15
"Jun 14, 2020 @ 06:38:30.000","note:dev:865284040101085","34.172","-118.057",,,"2.05","3.8","4.18"
"Jun 14, 2020 @ 06:38:26.000","note:dev:865284040125720","37.739","-122.503",,,"1.45","3.03","5.05"
"Jun 14, 2020 @ 06:38:25.000","note:dev:865284040101085","34.172","-118.057",,,"1.73","3.13","4.1"
"Jun 14, 2020 @ 06:38:20.000","note:dev:865284040125720","37.739","-122.503",,,"2.65","4.5","5.95"
"Jun 14, 2020 @ 06:30:38.000","note:dev:865284040097879","34.065","-118.286",,,"6.85","12.4","18.13"
"Jun 14, 2020 @ 06:30:33.000","note:dev:865284040097879","34.065","-118.286",,,"3.9","9.75","11.58"
"Jun 14, 2020 @ 06:30:21.000","safecast:1045649384","37.739","-122.503","15.977","80.756",4,5,6
"Jun 14, 2020 @ 06:28:58.000","note:dev:865284040125878","34.483","136.163",,,"5.83","8.3","8.75"
"Jun 14, 2020 @ 06:28:53.000","note:dev:865284040125878","34.483","136.163",,,"5.75","8.8","8.8"
"Jun 14, 2020 @ 06:28:16.000","note:dev:865284040070785","34.122","-118.261",,,"11.8","14.8","16.15"
"Jun 14, 2020 @ 06:28:10.000","note:dev:865284040070785","34.122","-118.261",,,"6.8","8.7","8.7"
"Jun 14, 2020 @ 06:28:03.000","safecast:1094924990","33.449","-117.649",,,2,3,3
"Jun 14, 2020 @ 06:11:40.000","safecast:3714913954","52.395","4.875",,,23,39,49
"Jun 14, 2020 @ 06:10:06.000","safecast:678194983","46.555","15.636",,,11,14,14
"Jun 14, 2020 @ 05:41:52.000","safecast:3714913954","52.395","4.875",,,23,40,50
"Jun 14, 2020 @ 05:40:06.000","safecast:678194983","46.555","15.636",,,10,13,14
"Jun 14, 2020 @ 05:38:42.000","safecast:3709008148","42.565","-70.784","12.984","63.76","1,026","1,026","1,026"
"Jun 14, 2020 @ 05:16:02.000","note:dev:865284040070801","34.199","-118.14",,,"1.9","3.1","3.1"
"Jun 14, 2020 @ 05:11:36.000","safecast:3714913954","52.395","4.875",,,23,41,52
"Jun 14, 2020 @ 05:10:06.000","safecast:678194983","46.555","15.636",,,27,39,46
"Jun 14, 2020 @ 05:01:17.000","note:dev:865284040097945","34.122","-118.261",,,"2.48","4.1","5.38"
"Jun 14, 2020 @ 05:01:11.000","note:dev:865284040097945","34.122","-118.261",,,1,"2.6","3.83"
"Jun 14, 2020 @ 04:52:17.000","safecast:114699387","34.134","-118.382","16.364","62.318",2,3,4
"Jun 14, 2020 @ 04:50:54.000","safecast:129232559","37.443","-122.128","14.895","57.034",2,2,3
"Jun 14, 2020 @ 04:49:57.000","note:dev:865284040102018","25.038","121.507",,,"19.52","29.4","31.55"
"Jun 14, 2020 @ 04:49:51.000","note:dev:865284040102018","25.038","121.507",,,"13.25","18.25","19.45"
"Jun 14, 2020 @ 04:41:42.000","safecast:1238569003","37.523","139.939","26.752","35.06",0,0,0
"Jun 14, 2020 @ 04:41:36.000","safecast:3714913954","52.395","4.875",,,22,39,51
"Jun 14, 2020 @ 04:41:23.000","note:dev:865284040125720","37.739","-122.503",,,"2.17","3.85","4.83"
"Jun 14, 2020 @ 04:41:17.000","note:dev:865284040125720","37.739","-122.503",,,"4.05","7.08","8.82"
"Jun 14, 2020 @ 04:40:06.000","safecast:678194983","46.555","15.636",,,11,14,15
"Jun 14, 2020 @ 04:34:54.000","note:dev:865284040095238","34.122","-118.261",,,"0.38","1.6","2.13"
"Jun 14, 2020 @ 04:34:49.000","note:dev:865284040095238","34.122","-118.261",,,"1.8","3.33","3.33"
"Jun 14, 2020 @ 04:30:17.000","note:dev:865284040097879","34.065","-118.286",,,"0.98","4.25","5.38"
"Jun 14, 2020 @ 04:30:11.000","note:dev:865284040097879","34.065","-118.286",,,"0.25","3.13","4.2"
"Jun 14, 2020 @ 04:29:21.000","note:dev:865284040125878","34.483","136.163",,,"5.23","6.95","7.83"
"Jun 14, 2020 @ 04:29:16.000","note:dev:865284040125878","34.483","136.163",,,"5.38","7.68","8.25"
"Jun 14, 2020 @ 04:27:41.000","note:dev:865284040070785","34.122","-118.261",,,"0.93","2.25","2.78"
"Jun 14, 2020 @ 04:27:36.000","note:dev:865284040070785","34.122","-118.261",,,"1.25","3.35","4.4"
"Jun 14, 2020 @ 04:26:23.000","note:dev:865284040083945","35.665","139.705",,,"18.15","28.45","32.83"
"Jun 14, 2020 @ 04:26:18.000","note:dev:865284040083945","35.665","139.705",,,"11.08","15.93","17.58"
"Jun 14, 2020 @ 04:20:35.000","note:dev:865284040101085","34.172","-118.057",,,"1.3","2.33","2.42"
"Jun 14, 2020 @ 04:11:43.000","safecast:3714913954","52.395","4.875",,,23,40,50
"Jun 14, 2020 @ 04:10:06.000","safecast:678194983","46.555","15.636",,,9,13,14
"Jun 14, 2020 @ 03:41:35.000","safecast:3714913954","52.395","4.875",,,27,46,60
"Jun 14, 2020 @ 03:40:06.000","safecast:678194983","46.555","15.636",,,9,12,13
"Jun 14, 2020 @ 03:38:23.000","safecast:3768313999","33.403","-117.595",,,2,3,4
"Jun 14, 2020 @ 03:15:04.000","note:dev:865284040070801",,,,,"3.03","4.43","4.43"
"Jun 14, 2020 @ 03:14:58.000","note:dev:865284040070801",,,,,"9.48","13.08","14.18"
"Jun 14, 2020 @ 03:14:53.000","note:dev:865284040070801",,,,,"3.15","4.83","5.6"
"Jun 14, 2020 @ 03:14:48.000","note:dev:865284040070801",,,,,"4.6","5.58","6.5"
"Jun 14, 2020 @ 03:14:43.000","note:dev:865284040070801",,,,,"5.7","7.05","8.5"
"Jun 14, 2020 @ 03:14:37.000","note:dev:865284040070801",,,,,"6.28","8.95","9.43"
"Jun 14, 2020 @ 03:14:32.000","note:dev:865284040070801",,,,,"5.53","7.3","8.15"
"Jun 14, 2020 @ 03:14:27.000","note:dev:865284040070801",,,,,"4.93","5.5","5.5"
"Jun 14, 2020 @ 03:14:22.000","note:dev:865284040070801",,,,,"5.9","7.68","8.98"
"Jun 14, 2020 @ 03:14:16.000","note:dev:865284040070801","34.122","-118.261",,,"3.55","5.55","7.1"
"Jun 14, 2020 @ 03:14:11.000","note:dev:865284040070801","34.122","-118.261",,,"1.08","2.35","3.03"
"Jun 14, 2020 @ 03:14:06.000","note:dev:865284040070801",,,,,"7.75","10.93","13.03"
"Jun 14, 2020 @ 03:14:01.000","note:dev:865284040070801",,,,,"0.45","1.15","1.23"
"Jun 14, 2020 @ 03:13:55.000","note:dev:865284040070801",,,,,"2.7","3.68","3.68"
"Jun 14, 2020 @ 03:13:50.000","note:dev:865284040070801",,,,,"0.35","2.48",3
"Jun 14, 2020 @ 03:13:44.000","note:dev:865284040070801",,,,,0,0,0
"Jun 14, 2020 @ 03:13:39.000","note:dev:865284040070801","34.122","-118.261",,,"2.93","4.35","5.28"
"Jun 14, 2020 @ 03:13:34.000","note:dev:865284040070801",,,,,"6.7",9,"9.38"
"Jun 14, 2020 @ 03:13:29.000","note:dev:865284040070801",,,,,"2.68","3.68","3.68"
"Jun 14, 2020 @ 03:13:23.000","note:dev:865284040070801",,,,,"4.08","5.08","5.08"
"Jun 14, 2020 @ 03:13:18.000","note:dev:865284040070801",,,,,"4.22","5.58","5.75"
"Jun 14, 2020 @ 03:11:35.000","safecast:3714913954","52.395","4.875",,,27,48,64
"Jun 14, 2020 @ 03:10:07.000","safecast:678194983","46.555","15.636",,,10,12,13
"Jun 14, 2020 @ 03:01:11.000","note:dev:865284040097945","34.122","-118.261",,,"0.1","0.93","1.6"
"Jun 14, 2020 @ 03:01:05.000","note:dev:865284040097945","34.122","-118.261",,,0,"0.45","0.88"
"Jun 14, 2020 @ 02:43:33.000","note:dev:865284040083945","35.665","139.705",,,"5.6","10.35","11.2"
"Jun 14, 2020 @ 02:43:28.000","note:dev:865284040083945","35.665","139.705",,,"6.95",11,13
"Jun 14, 2020 @ 02:41:36.000","safecast:3714913954","52.395","4.875",,,28,49,65
"Jun 14, 2020 @ 02:40:36.000","note:dev:865284040125720","37.739","-122.503",,,"0.38","5.05","7.98"
"Jun 14, 2020 @ 02:40:31.000","note:dev:865284040125720","37.739","-122.503",,,0,"0.08","0.08"
"Jun 14, 2020 @ 02:40:07.000","safecast:678194983","46.555","15.636",,,9,11,12
"Jun 14, 2020 @ 02:35:00.000","note:dev:865284040095238","34.122","-118.261",,,0,"0.9","1.6"
"Jun 14, 2020 @ 02:34:54.000","note:dev:865284040095238","34.122","-118.261",,,0,"0.05","0.25"
"Jun 14, 2020 @ 02:31:17.000","note:dev:865284040097879","34.065","-118.286",,,"0.08","0.53","2.33"
"Jun 14, 2020 @ 02:31:12.000","note:dev:865284040097879","34.065","-118.286",,,"0.03","0.7","1.78"
"Jun 14, 2020 @ 02:29:09.000","note:dev:865284040125878","34.483","136.163",,,"5.08","7.3","7.3"
"Jun 14, 2020 @ 02:29:03.000","note:dev:865284040125878","34.483","136.163",,,"5.05","6.85","7.23"
"Jun 14, 2020 @ 02:27:55.000","note:dev:865284040070785","34.122","-118.261",,,0,"0.08","0.5"
"Jun 14, 2020 @ 02:27:50.000","note:dev:865284040070785","34.122","-118.261",,,0,0,0
"Jun 14, 2020 @ 02:21:31.000","note:dev:865284040101085","34.172","-118.057",,,"1.38","2.08","2.08"
"Jun 14, 2020 @ 02:21:26.000","note:dev:865284040101085","34.172","-118.057",,,1,"2.45","3.13"
"Jun 14, 2020 @ 02:21:21.000","note:dev:865284040101085","34.172","-118.057",,,2,"2.98","3.28"
