,device,when_captured
196,114699387,2019-07-27 13:14:30+00:00
197,114699387,2019-07-27 14:29:29+00:00
779,129232559,2019-07-02 04:02:14+00:00
780,129232559,2019-07-02 05:12:21+00:00
781,129232559,2019-07-02 09:52:18+00:00
783,129232559,2019-07-02 10:57:14+00:00
784,129232559,2019-07-02 13:27:14+00:00
785,129232559,2019-07-02 14:42:14+00:00
856,129232559,2019-07-27 13:04:45+00:00
857,129232559,2019-07-27 14:19:45+00:00
858,129232559,2019-07-27 15:34:45+00:00
859,129232559,2019-07-27 16:44:52+00:00
1440,154534971,2019-07-02 09:12:05+00:00
1441,154534971,2019-07-02 12:12:04+00:00
1442,154534971,2019-07-02 14:12:05+00:00
1443,154534971,2019-07-02 15:12:04+00:00
1444,154534971,2019-07-02 17:12:04+00:00
1445,154534971,2019-07-02 19:12:01+00:00
1447,154534971,2019-07-02 21:12:04+00:00
1448,154534971,2019-07-02 23:28:59+00:00
1449,154534971,2019-07-03 02:29:02+00:00
1450,154534971,2019-07-03 03:29:01+00:00
1470,154534971,2019-07-27 13:27:11+00:00
1471,154534971,2019-07-27 14:27:11+00:00
1472,154534971,2019-07-27 15:27:11+00:00
1473,154534971,2019-07-27 16:27:11+00:00
1474,154534971,2019-07-27 17:27:15+00:00
1475,154534971,2019-07-27 18:27:10+00:00
1476,154534971,2019-07-27 19:27:10+00:00
1477,154534971,2019-07-27 20:27:10+00:00
1489,154534971,2019-07-27 20:47:09+00:00
1490,154534971,2019-07-27 21:47:10+00:00
1491,154534971,2019-07-27 22:47:10+00:00
1492,154534971,2019-07-27 23:47:10+00:00
1493,154534971,2019-07-28 00:47:10+00:00
1494,154534971,2019-07-28 01:47:10+00:00
1495,154534971,2019-07-28 02:47:10+00:00
1496,154534971,2019-07-28 03:47:15+00:00
1497,154534971,2019-07-28 04:47:10+00:00
1498,154534971,2019-07-28 05:47:10+00:00
1499,154534971,2019-07-28 06:47:10+00:00
1500,154534971,2019-07-28 07:47:10+00:00
1501,154534971,2019-07-28 08:37:10+00:00
1504,154534971,2019-07-28 09:37:10+00:00
1505,154534971,2019-07-28 10:37:07+00:00
1506,154534971,2019-07-28 11:37:12+00:00
1507,154534971,2019-07-28 12:37:09+00:00
1508,154534971,2019-07-28 13:37:08+00:00
1509,154534971,2019-07-28 14:37:14+00:00
1510,154534971,2019-07-28 15:37:10+00:00
1511,154534971,2019-07-30 06:16:55+00:00
1514,154534971,2019-07-30 07:17:05+00:00
1515,154534971,2019-07-30 08:16:59+00:00
1516,154534971,2019-07-30 09:17:08+00:00
1517,154534971,2019-07-30 10:17:07+00:00
1518,154534971,2019-07-30 11:17:07+00:00
1519,154534971,2019-07-30 12:17:07+00:00
1520,154534971,2019-07-30 13:17:07+00:00
1521,154534971,2019-07-30 14:17:07+00:00
1522,154534971,2019-07-30 15:17:09+00:00
1523,154534971,2019-07-30 16:17:07+00:00
1524,154534971,2019-07-30 17:17:07+00:00
1525,154534971,2019-07-30 18:17:07+00:00
1528,154534971,2019-07-30 19:17:07+00:00
1529,154534971,2019-07-30 20:17:07+00:00
1530,154534971,2019-07-30 21:17:06+00:00
1531,154534971,2019-07-30 22:17:07+00:00
1532,154534971,2019-07-30 23:17:06+00:00
1533,154534971,2019-07-31 00:17:11+00:00
1534,154534971,2019-07-31 01:17:07+00:00
1535,154534971,2019-07-31 02:17:06+00:00
1536,154534971,2019-07-31 03:17:06+00:00
1537,154534971,2019-07-31 04:17:06+00:00
1538,154534971,2019-07-31 05:17:06+00:00
1539,154534971,2019-07-31 06:17:06+00:00
1542,154534971,2019-07-31 07:17:06+00:00
1543,154534971,2019-07-31 08:17:06+00:00
1544,154534971,2019-07-31 09:17:06+00:00
1545,154534971,2019-07-31 10:17:06+00:00
1546,154534971,2019-07-31 11:17:06+00:00
1547,154534971,2019-07-31 12:17:06+00:00
1548,154534971,2019-07-31 13:17:06+00:00
1549,154534971,2019-07-31 19:37:06+00:00
1552,154534971,2019-07-31 20:37:03+00:00
1553,154534971,2019-07-31 22:37:05+00:00
1554,154534971,2019-07-31 23:40:07+00:00
1742,271575163,2019-07-01 07:21:04+00:00
1744,271575163,2019-07-01 12:36:03+00:00
1745,271575163,2019-07-01 15:06:00+00:00
1746,271575163,2019-07-01 16:21:00+00:00
1747,271575163,2019-07-01 18:51:01+00:00
1748,271575163,2019-07-01 22:20:58+00:00
1851,271575163,2019-07-27 12:53:19+00:00
1852,271575163,2019-07-27 13:53:18+00:00
15521,872300871,2019-07-01 15:33:14+00:00
16072,974587752,2019-07-02 13:04:23+00:00
16073,974587752,2019-07-02 15:34:23+00:00
16074,974587752,2019-07-02 16:51:38+00:00
16075,974587752,2019-07-02 20:34:24+00:00
16076,974587752,2019-07-02 21:49:23+00:00
16127,974587752,2019-07-27 12:46:27+00:00
17533,1094924990,2019-07-27 12:46:41+00:00
17535,1094924990,2019-07-27 13:46:46+00:00
18082,1162749983,2019-07-27 13:15:17+00:00
18083,1162749983,2019-07-27 14:25:17+00:00
18084,1162749983,2019-07-27 15:35:16+00:00
18085,1162749983,2019-07-27 16:45:16+00:00
18086,1162749983,2019-07-27 17:55:16+00:00
18087,1162749983,2019-07-27 19:05:15+00:00
18088,1162749983,2019-07-27 20:15:15+00:00
18089,1162749983,2019-07-27 21:25:15+00:00
18090,1162749983,2019-07-27 21:55:15+00:00
21383,1875225345,2019-07-27 13:05:18+00:00
21384,1875225345,2019-07-27 14:20:19+00:00
21385,1875225345,2019-07-27 15:20:20+00:00
21919,2299238163,2019-07-01 17:38:43+00:00
21920,2299238163,2019-07-01 19:58:45+00:00
21921,2299238163,2019-07-01 21:08:45+00:00
21922,2299238163,2019-07-02 00:38:45+00:00
21923,2299238163,2019-07-02 01:48:45+00:00
21925,2299238163,2019-07-02 07:58:44+00:00
22000,2299238163,2019-07-27 12:40:13+00:00
22001,2299238163,2019-07-27 13:55:13+00:00
22002,2299238163,2019-07-27 15:10:12+00:00
22601,2651380949,2019-07-01 02:34:31+00:00
22602,2651380949,2019-07-01 03:44:30+00:00
22603,2651380949,2019-07-01 06:04:34+00:00
22604,2651380949,2019-07-01 11:54:32+00:00
22741,2651380949,2019-07-27 13:37:14+00:00
22742,2651380949,2019-07-27 14:47:17+00:00
22743,2651380949,2019-07-27 15:17:14+00:00
23533,2750599726,2019-07-27 13:29:55+00:00
23534,2750599726,2019-07-27 13:59:45+00:00
24188,3373827677,2019-07-01 18:46:04+00:00
24189,3373827677,2019-07-01 22:16:05+00:00
24191,3373827677,2019-07-02 01:46:07+00:00
24334,3373827677,2019-07-27 13:20:49+00:00
24335,3373827677,2019-07-27 13:20:50+00:00
24336,3373827677,2019-07-27 14:30:50+00:00
24337,3373827677,2019-07-27 15:40:53+00:00
24338,3373827677,2019-07-27 16:55:48+00:00
24342,3373827677,2019-07-27 18:10:49+00:00
24919,3709008148,2019-07-01 08:38:26+00:00
24971,3709008148,2019-07-02 11:53:23+00:00
24972,3709008148,2019-07-02 14:23:22+00:00
24973,3709008148,2019-07-02 18:08:22+00:00
24974,3709008148,2019-07-02 20:33:23+00:00
24976,3709008148,2019-07-03 01:03:23+00:00
25026,3709008148,2019-07-27 13:30:55+00:00
25027,3709008148,2019-07-27 14:46:05+00:00
25028,3709008148,2019-07-27 16:00:55+00:00
25029,3709008148,2019-07-27 17:00:55+00:00
25474,3768313999,2019-07-01 03:38:29+00:00
25475,3768313999,2019-07-01 04:38:37+00:00
25597,3768313999,2019-07-27 12:45:08+00:00
25598,3768313999,2019-07-27 13:45:08+00:00
26244,3856112813,2019-07-27 13:12:51+00:00
26245,3856112813,2019-07-27 14:27:54+00:00
26246,3856112813,2019-07-27 15:42:50+00:00
26247,3856112813,2019-07-27 16:57:53+00:00
26248,3856112813,2019-07-27 18:12:50+00:00
26249,3856112813,2019-07-27 19:27:54+00:00
26250,3856112813,2019-07-27 20:42:53+00:00
26883,3937710776,2019-07-27 13:24:43+00:00
26884,3937710776,2019-07-27 14:34:47+00:00
26885,3937710776,2019-07-27 15:44:33+00:00
26886,3937710776,2019-07-27 16:54:37+00:00
26887,3937710776,2019-07-27 18:04:45+00:00
26888,3937710776,2019-07-27 18:34:47+00:00
27482,3937710776,2019-07-31 19:33:43+00:00
27483,3937710776,2019-07-31 20:43:53+00:00
27484,3937710776,2019-07-31 21:53:57+00:00
27485,4177786812,2019-07-01 00:49:08+00:00
27491,4177786812,2019-07-01 01:59:03+00:00
27493,4177786812,2019-07-01 03:39:09+00:00
27509,4177786812,2019-07-01 20:29:09+00:00
27510,4177786812,2019-07-01 22:49:04+00:00
27512,4177786812,2019-07-02 01:09:04+00:00
27514,4177786812,2019-07-02 02:59:02+00:00
27639,4177786812,2019-07-27 13:38:05+00:00
27640,4177786812,2019-07-27 14:53:09+00:00
27641,4177786812,2019-07-27 16:08:03+00:00
27642,4177786812,2019-07-27 17:23:09+00:00
27643,4177786812,2019-07-27 18:33:04+00:00
28295,4249659165,2019-07-01 23:41:46+00:00
28296,4249659165,2019-07-02 00:51:46+00:00
28297,4249659165,2019-07-02 06:56:45+00:00
28298,4249659165,2019-07-02 08:11:45+00:00
28299,4249659165,2019-07-02 09:26:45+00:00
28301,4249659165,2019-07-02 14:26:45+00:00
28302,4249659165,2019-07-02 15:41:45+00:00
28359,4249659165,2019-07-27 13:17:17+00:00
28360,4249659165,2019-07-27 14:17:16+00:00
28804,4267748403,2019-07-01 18:29:05+00:00
28805,4267748403,2019-07-01 21:59:01+00:00
28806,4267748403,2019-07-01 23:09:01+00:00
28807,4267748403,2019-07-02 00:19:01+00:00
28808,4267748403,2019-07-02 01:29:01+00:00
28810,4267748403,2019-07-02 03:09:00+00:00
28917,4267748403,2019-07-27 13:13:11+00:00
28918,4267748403,2019-07-27 14:28:10+00:00
28919,4267748403,2019-07-27 15:43:10+00:00
28920,4267748403,2019-07-27 16:58:12+00:00
28921,4267748403,2019-07-27 18:13:10+00:00
28923,4267748403,2019-07-27 19:18:11+00:00
