,when_captured,device_urn,device_sn,device,loc_lat,loc_lon,env_temp,env_humid,pms_pm01_0,pms_pm02_5,pms_pm10_0,lnd_7318c,lnd_7318u,bat_voltage,year,KEY_Dev_WhenCapt
13645,2020-05-01 00:12:15+00:00,safecast:678194983,Solarcast #30030,678194983,46.553999999999995,15.635,,,,,,26.0,31,,2020,"(678194983, Timestamp('2020-05-01 00:12:15+0000', tz='UTC'))"
13644,2020-05-01 00:14:23+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,,,,25.0,27,,2020,"(3714913954, Timestamp('2020-05-01 00:14:23+0000', tz='UTC'))"
13643,2020-05-01 00:14:29+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,,,,25.0,27,,2020,"(3714913954, Timestamp('2020-05-01 00:14:29+0000', tz='UTC'))"
13642,2020-05-01 00:14:30+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,,,,25.0,27,,2020,"(3714913954, Timestamp('2020-05-01 00:14:30+0000', tz='UTC'))"
13641,2020-05-01 00:14:47+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,2.0,3.0,4.0,,,,2020,"(3714913954, Timestamp('2020-05-01 00:14:47+0000', tz='UTC'))"
13640,2020-05-01 00:14:59+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,,,,,,,2020,"(3714913954, Timestamp('2020-05-01 00:14:59+0000', tz='UTC'))"
13639,2020-05-01 00:17:03+00:00,safecast:1045649384,Solarcast #30022,1045649384,37.739000000000004,-122.50299999999999,25.665,26.795,2.0,4.0,5.0,26.0,30,,2020,"(1045649384, Timestamp('2020-05-01 00:17:03+0000', tz='UTC'))"
13638,2020-05-01 00:27:15+00:00,safecast:678194983,Solarcast #30030,678194983,46.553999999999995,15.635,,,1.0,2.0,2.0,,,,2020,"(678194983, Timestamp('2020-05-01 00:27:15+0000', tz='UTC'))"
13637,2020-05-01 00:27:39+00:00,safecast:678194983,Solarcast #30030,678194983,46.553999999999995,15.635,,,,,,,,,2020,"(678194983, Timestamp('2020-05-01 00:27:39+0000', tz='UTC'))"
13636,2020-05-01 00:27:54+00:00,safecast:678194983,Solarcast #30030,678194983,46.553999999999995,15.635,,,,,,32.0,33,3.8739999999999997,2020,"(678194983, Timestamp('2020-05-01 00:27:54+0000', tz='UTC'))"
13635,2020-05-01 00:29:23+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,,,,22.0,27,,2020,"(3714913954, Timestamp('2020-05-01 00:29:23+0000', tz='UTC'))"
13634,2020-05-01 00:42:15+00:00,safecast:678194983,Solarcast #30030,678194983,46.553999999999995,15.635,,,,,,31.0,29,,2020,"(678194983, Timestamp('2020-05-01 00:42:15+0000', tz='UTC'))"
13633,2020-05-01 00:44:23+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,,,,26.0,28,,2020,"(3714913954, Timestamp('2020-05-01 00:44:23+0000', tz='UTC'))"
13632,2020-05-01 00:44:49+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,3.0,4.0,5.0,,,,2020,"(3714913954, Timestamp('2020-05-01 00:44:49+0000', tz='UTC'))"
13631,2020-05-01 00:45:00+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,,,,,,,2020,"(3714913954, Timestamp('2020-05-01 00:45:00+0000', tz='UTC'))"
13630,2020-05-01 00:57:15+00:00,safecast:678194983,Solarcast #30030,678194983,46.553999999999995,15.635,,,1.0,2.0,2.0,,,,2020,"(678194983, Timestamp('2020-05-01 00:57:15+0000', tz='UTC'))"
13629,2020-05-01 00:57:39+00:00,safecast:678194983,Solarcast #30030,678194983,46.553999999999995,15.635,,,,,,,,,2020,"(678194983, Timestamp('2020-05-01 00:57:39+0000', tz='UTC'))"
13628,2020-05-01 00:57:54+00:00,safecast:678194983,Solarcast #30030,678194983,46.553999999999995,15.635,,,,,,24.0,25,3.873,2020,"(678194983, Timestamp('2020-05-01 00:57:54+0000', tz='UTC'))"
13627,2020-05-01 00:59:24+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,,,,25.0,26,,2020,"(3714913954, Timestamp('2020-05-01 00:59:24+0000', tz='UTC'))"
13626,2020-05-01 01:12:15+00:00,safecast:678194983,Solarcast #30030,678194983,46.553999999999995,15.635,,,,,,26.0,31,,2020,"(678194983, Timestamp('2020-05-01 01:12:15+0000', tz='UTC'))"
13625,2020-05-01 01:14:23+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,,,,32.0,27,,2020,"(3714913954, Timestamp('2020-05-01 01:14:23+0000', tz='UTC'))"
13624,2020-05-01 01:14:49+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,3.0,5.0,5.0,,,,2020,"(3714913954, Timestamp('2020-05-01 01:14:49+0000', tz='UTC'))"
13623,2020-05-01 01:15:00+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,,,,,,,2020,"(3714913954, Timestamp('2020-05-01 01:15:00+0000', tz='UTC'))"
13622,2020-05-01 01:27:15+00:00,safecast:678194983,Solarcast #30030,678194983,46.553999999999995,15.635,,,2.0,2.0,2.0,,,,2020,"(678194983, Timestamp('2020-05-01 01:27:15+0000', tz='UTC'))"
13621,2020-05-01 01:27:39+00:00,safecast:678194983,Solarcast #30030,678194983,46.553999999999995,15.635,,,,,,,,,2020,"(678194983, Timestamp('2020-05-01 01:27:39+0000', tz='UTC'))"
13620,2020-05-01 01:27:54+00:00,safecast:678194983,Solarcast #30030,678194983,46.553999999999995,15.635,,,,,,30.0,31,3.873,2020,"(678194983, Timestamp('2020-05-01 01:27:54+0000', tz='UTC'))"
13619,2020-05-01 01:29:23+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,,,,25.0,27,,2020,"(3714913954, Timestamp('2020-05-01 01:29:23+0000', tz='UTC'))"
13618,2020-05-01 01:33:44+00:00,safecast:4267748403,Solarcast #30019,4267748403,34.122,-118.26100000000001,30.919,18.281,9.0,14.0,15.0,28.0,31,,2020,"(4267748403, Timestamp('2020-05-01 01:33:44+0000', tz='UTC'))"
13617,2020-05-01 01:42:15+00:00,safecast:678194983,Solarcast #30030,678194983,46.553999999999995,15.635,,,,,,27.0,30,,2020,"(678194983, Timestamp('2020-05-01 01:42:15+0000', tz='UTC'))"
13616,2020-05-01 01:44:23+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,,,,31.0,26,,2020,"(3714913954, Timestamp('2020-05-01 01:44:23+0000', tz='UTC'))"
13615,2020-05-01 01:44:49+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,3.0,5.0,5.0,,,,2020,"(3714913954, Timestamp('2020-05-01 01:44:49+0000', tz='UTC'))"
13614,2020-05-01 01:45:08+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,,,,,,,2020,"(3714913954, Timestamp('2020-05-01 01:45:08+0000', tz='UTC'))"
13613,2020-05-01 01:54:05+00:00,safecast:4249659165,Solarcast #30018,4249659165,34.132,-118.84200000000001,,,,,,31.0,33,3.5869999999999997,2020,"(4249659165, Timestamp('2020-05-01 01:54:05+0000', tz='UTC'))"
13612,2020-05-01 01:57:15+00:00,safecast:678194983,Solarcast #30030,678194983,46.553999999999995,15.635,,,1.0,2.0,2.0,,,,2020,"(678194983, Timestamp('2020-05-01 01:57:15+0000', tz='UTC'))"
13611,2020-05-01 01:57:39+00:00,safecast:678194983,Solarcast #30030,678194983,46.553999999999995,15.635,,,,,,,,,2020,"(678194983, Timestamp('2020-05-01 01:57:39+0000', tz='UTC'))"
13610,2020-05-01 01:57:54+00:00,safecast:678194983,Solarcast #30030,678194983,46.553999999999995,15.635,,,,,,28.0,31,3.87,2020,"(678194983, Timestamp('2020-05-01 01:57:54+0000', tz='UTC'))"
13609,2020-05-01 01:59:23+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,,,,26.0,28,,2020,"(3714913954, Timestamp('2020-05-01 01:59:23+0000', tz='UTC'))"
13608,2020-05-01 02:12:15+00:00,safecast:678194983,Solarcast #30030,678194983,46.553999999999995,15.635,,,,,,32.0,35,,2020,"(678194983, Timestamp('2020-05-01 02:12:15+0000', tz='UTC'))"
13607,2020-05-01 02:14:23+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,,,,22.0,25,,2020,"(3714913954, Timestamp('2020-05-01 02:14:23+0000', tz='UTC'))"
13606,2020-05-01 02:14:49+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,3.0,4.0,6.0,,,,2020,"(3714913954, Timestamp('2020-05-01 02:14:49+0000', tz='UTC'))"
13605,2020-05-01 02:15:00+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,,,,,,,2020,"(3714913954, Timestamp('2020-05-01 02:15:00+0000', tz='UTC'))"
13604,2020-05-01 02:27:15+00:00,safecast:678194983,Solarcast #30030,678194983,46.553999999999995,15.635,,,3.0,4.0,4.0,,,,2020,"(678194983, Timestamp('2020-05-01 02:27:15+0000', tz='UTC'))"
13603,2020-05-01 02:27:39+00:00,safecast:678194983,Solarcast #30030,678194983,46.553999999999995,15.635,,,,,,,,,2020,"(678194983, Timestamp('2020-05-01 02:27:39+0000', tz='UTC'))"
13602,2020-05-01 02:27:54+00:00,safecast:678194983,Solarcast #30030,678194983,46.553999999999995,15.635,,,,,,25.0,28,3.87,2020,"(678194983, Timestamp('2020-05-01 02:27:54+0000', tz='UTC'))"
13601,2020-05-01 02:29:25+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,,,,27.0,25,,2020,"(3714913954, Timestamp('2020-05-01 02:29:25+0000', tz='UTC'))"
13600,2020-05-01 02:42:15+00:00,safecast:678194983,Solarcast #30030,678194983,46.553999999999995,15.635,,,,,,31.0,31,,2020,"(678194983, Timestamp('2020-05-01 02:42:15+0000', tz='UTC'))"
13599,2020-05-01 02:44:33+00:00,safecast:3714913954,Solarcast #30027,3714913954,52.395,4.875,,,,,,28.0,28,,2020,"(3714913954, Timestamp('2020-05-01 02:44:33+0000', tz='UTC'))"
