"service_uploaded","when_captured","device_urn","device_sn",device,"loc_lat","loc_lon","env_temp","env_humid","pms_pm01_0","pms_pm02_5","pms_pm10_0","lnd_7318c","lnd_7318u","bat_voltage"
"Jun 30, 2020 @ 23:58:49.000","2020-06-30T23:58:49Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,,,
"Jun 30, 2020 @ 23:58:38.000","2020-06-30T23:58:38Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,0,0,0,,,
"Jun 30, 2020 @ 23:58:12.000","2020-06-30T23:58:12Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,26,25,
"Jun 30, 2020 @ 23:56:56.000","2020-06-30T23:56:48Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,28,,
"Jun 30, 2020 @ 23:43:12.000","2020-06-30T23:43:12Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,29,25,
"Jun 30, 2020 @ 23:43:00.000","2020-06-30T23:42:57Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,29,,"3.864"
"Jun 30, 2020 @ 23:42:44.000","2020-06-30T23:42:42Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,,,
"Jun 30, 2020 @ 23:41:57.000","2020-06-30T23:41:48Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,4,5,6,,,
"Jun 30, 2020 @ 23:28:49.000","2020-06-30T23:28:49Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,,,
"Jun 30, 2020 @ 23:28:37.000","2020-06-30T23:28:37Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,0,0,0,,,
"Jun 30, 2020 @ 23:28:12.000","2020-06-30T23:28:12Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,23,22,
"Jun 30, 2020 @ 23:26:55.000","2020-06-30T23:26:48Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,26,,
"Jun 30, 2020 @ 23:17:36.000","2020-06-30T23:17:36Z","safecast:230442684","Solarcast #30016",230442684,"34.122","-118.261",,,,,,,37,"3.561"
"Jun 30, 2020 @ 23:13:12.000","2020-06-30T23:13:12Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,22,25,
"Jun 30, 2020 @ 23:13:01.000","2020-06-30T23:12:57Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,26,,"3.865"
"Jun 30, 2020 @ 23:12:44.000","2020-06-30T23:12:42Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,,,
"Jun 30, 2020 @ 23:11:57.000","2020-06-30T23:11:48Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,4,6,6,,,
"Jun 30, 2020 @ 22:58:49.000","2020-06-30T22:58:49Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,,,
"Jun 30, 2020 @ 22:58:37.000","2020-06-30T22:58:37Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,0,0,0,,,
"Jun 30, 2020 @ 22:58:12.000","2020-06-30T22:58:12Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,27,27,
"Jun 30, 2020 @ 22:57:49.000","2020-06-30T22:57:49Z","safecast:1045649384","Solarcast #30022",1045649384,"37.739","-122.503","39.042","-8.677",3,6,7,25,26,"3.995"
"Jun 30, 2020 @ 22:56:55.000","2020-06-30T22:56:48Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,27,,
"Jun 30, 2020 @ 22:43:12.000","2020-06-30T22:43:12Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,26,30,
"Jun 30, 2020 @ 22:43:01.000","2020-06-30T22:42:57Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,23,,"3.866"
"Jun 30, 2020 @ 22:42:44.000","2020-06-30T22:42:42Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,,,
"Jun 30, 2020 @ 22:41:57.000","2020-06-30T22:41:48Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,7,9,9,,,
"Jun 30, 2020 @ 22:32:15.000","2020-06-30T22:32:15Z","safecast:129232559","Solarcast #30012",129232559,"37.443","-122.128",,,,,,19,21,"3.596"
"Jun 30, 2020 @ 22:31:45.000","2020-06-30T22:31:45Z","safecast:1094924990","Solarcast #30024",1094924990,"33.449","-117.649",,,7,9,11,31,33,
"Jun 30, 2020 @ 22:28:50.000","2020-06-30T22:28:50Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,,,
"Jun 30, 2020 @ 22:28:37.000","2020-06-30T22:28:37Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,0,0,0,,,
"Jun 30, 2020 @ 22:28:12.000","2020-06-30T22:28:12Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,25,24,
"Jun 30, 2020 @ 22:26:55.000","2020-06-30T22:26:42Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,29,,
"Jun 30, 2020 @ 22:13:25.000","2020-06-30T22:13:25Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,22,25,
"Jun 30, 2020 @ 22:12:31.000","2020-06-30T22:12:27Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,26,,"3.869"
"Jun 30, 2020 @ 22:12:14.000","2020-06-30T22:12:12Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,,,
"Jun 30, 2020 @ 22:11:57.000","2020-06-30T22:11:48Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,5,7,7,,,
"Jun 30, 2020 @ 22:11:37.000","2020-06-30T22:11:37Z","safecast:1344890106","Solarcast #33001",1344890106,"34.148","-118.094",,,,,,,34,
"Jun 30, 2020 @ 21:58:49.000","2020-06-30T21:58:49Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,,,
"Jun 30, 2020 @ 21:58:37.000","2020-06-30T21:58:37Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,0,0,0,,,
"Jun 30, 2020 @ 21:58:12.000","2020-06-30T21:58:12Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,27,23,
"Jun 30, 2020 @ 21:56:55.000","2020-06-30T21:56:48Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,22,,
"Jun 30, 2020 @ 21:43:12.000","2020-06-30T21:43:12Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,24,24,
"Jun 30, 2020 @ 21:42:31.000","2020-06-30T21:42:27Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,24,,"3.869"
"Jun 30, 2020 @ 21:42:14.000","2020-06-30T21:42:12Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,,,
"Jun 30, 2020 @ 21:41:57.000","2020-06-30T21:41:48Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,5,6,6,,,
"Jun 30, 2020 @ 21:28:49.000","2020-06-30T21:28:49Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,,,
"Jun 30, 2020 @ 21:28:37.000","2020-06-30T21:28:37Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,0,0,0,,,
"Jun 30, 2020 @ 21:28:12.000","2020-06-30T21:28:12Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,24,24,
"Jun 30, 2020 @ 21:26:56.000","2020-06-30T21:26:48Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,29,,
"Jun 30, 2020 @ 21:13:12.000","2020-06-30T21:13:12Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,25,27,
"Jun 30, 2020 @ 21:12:31.000","2020-06-30T21:12:27Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,28,,"3.871"
"Jun 30, 2020 @ 21:12:14.000","2020-06-30T21:12:12Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,,,
"Jun 30, 2020 @ 21:11:57.000","2020-06-30T21:11:48Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,4,5,5,,,
"Jun 30, 2020 @ 20:58:55.000","2020-06-30T20:58:55Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,,,
"Jun 30, 2020 @ 20:58:51.000","2020-06-30T20:58:51Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,0,0,0,,,
"Jun 30, 2020 @ 20:58:12.000","2020-06-30T20:58:12Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,29,25,
"Jun 30, 2020 @ 20:58:12.000","2020-06-30T20:58:12Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,29,25,
"Jun 30, 2020 @ 20:57:31.000","2020-06-30T20:57:31Z","safecast:3865366066","Solarcast #33004",3865366066,"46.317","-119.325",,,,,,,,"4.145"
"Jun 30, 2020 @ 20:56:56.000","2020-06-30T20:56:48Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,25,,
"Jun 30, 2020 @ 20:56:07.000","2020-06-30T20:56:07Z","safecast:3768313999","Solarcast #30026",3768313999,"33.403","-117.595",,,2,3,4,32,36,
"Jun 30, 2020 @ 20:43:12.000","2020-06-30T20:43:12Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,25,25,
"Jun 30, 2020 @ 20:42:31.000","2020-06-30T20:42:27Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,26,,"3.872"
"Jun 30, 2020 @ 20:42:14.000","2020-06-30T20:42:12Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,,,
"Jun 30, 2020 @ 20:41:57.000","2020-06-30T20:41:48Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,4,6,6,,,
"Jun 30, 2020 @ 20:34:09.000","2020-06-30T20:34:09Z","safecast:3709008148","Solarcast #30003",3709008148,"42.565","-70.784",,,,,,23,25,
"Jun 30, 2020 @ 20:28:49.000","2020-06-30T20:28:49Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,,,
"Jun 30, 2020 @ 20:28:37.000","2020-06-30T20:28:37Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,0,0,0,,,
"Jun 30, 2020 @ 20:28:12.000","2020-06-30T20:28:12Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,27,28,
"Jun 30, 2020 @ 20:26:56.000","2020-06-30T20:26:48Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,25,,
"Jun 30, 2020 @ 20:19:25.000","2020-06-30T20:19:25Z","safecast:114699387","Solarcast #30023",114699387,"34.134","-118.382",,,,,,30,32,
"Jun 30, 2020 @ 20:13:12.000","2020-06-30T20:13:12Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,25,26,
"Jun 30, 2020 @ 20:12:31.000","2020-06-30T20:12:27Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,27,,"3.873"
"Jun 30, 2020 @ 20:12:14.000","2020-06-30T20:12:12Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,,,
"Jun 30, 2020 @ 20:11:57.000","2020-06-30T20:11:48Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,3,5,5,,,
"Jun 30, 2020 @ 19:58:53.000","2020-06-30T19:58:53Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,,,
"Jun 30, 2020 @ 19:58:33.000","2020-06-30T19:58:33Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,0,0,0,,,
"Jun 30, 2020 @ 19:58:22.000","2020-06-30T19:58:22Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,24,33,
"Jun 30, 2020 @ 19:56:56.000","2020-06-30T19:56:48Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,24,,
"Jun 30, 2020 @ 19:43:12.000","2020-06-30T19:43:12Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,24,27,
"Jun 30, 2020 @ 19:42:31.000","2020-06-30T19:42:27Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,26,,"3.874"
"Jun 30, 2020 @ 19:42:14.000","2020-06-30T19:42:12Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,,,
"Jun 30, 2020 @ 19:41:57.000","2020-06-30T19:41:48Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,2,4,4,,,
"Jun 30, 2020 @ 19:28:49.000","2020-06-30T19:28:49Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,,,
"Jun 30, 2020 @ 19:28:37.000","2020-06-30T19:28:37Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,0,0,0,,,
"Jun 30, 2020 @ 19:28:12.000","2020-06-30T19:28:12Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,22,25,
"Jun 30, 2020 @ 19:27:40.000","2020-06-30T19:27:40Z","safecast:1162749983","Solarcast #33008",1162749983,"34.482","136.162",,,,,,,,"4.168"
"Jun 30, 2020 @ 19:26:56.000","2020-06-30T19:26:48Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,28,,
"Jun 30, 2020 @ 19:26:46.000","2020-06-30T19:26:46Z","safecast:1875225345","Solarcast #30006",1875225345,"37.358","140.368",,,,,,35,37,"3.59"
"Jun 30, 2020 @ 19:13:13.000","2020-06-30T19:13:14Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,24,24,
"Jun 30, 2020 @ 19:12:31.000","2020-06-30T19:12:27Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,27,,"3.875"
"Jun 30, 2020 @ 19:12:14.000","2020-06-30T19:12:12Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,,,
"Jun 30, 2020 @ 19:11:57.000","2020-06-30T19:11:48Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,2,3,3,,,
"Jun 30, 2020 @ 19:07:33.000","2020-06-30T19:07:37Z","safecast:1045649384","Solarcast #30022",1045649384,"37.739","-122.503","35.983","-0.023",2,5,6,26,24,"3.996"
"Jun 30, 2020 @ 18:58:49.000","2020-06-30T18:58:49Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,,,
"Jun 30, 2020 @ 18:58:43.000","2020-06-30T18:58:43Z","safecast:4249659165","Solarcast #30018",4249659165,"34.132","-118.842",,,,,,30,32,"3.605"
"Jun 30, 2020 @ 18:58:38.000","2020-06-30T18:58:38Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,0,0,0,,,
"Jun 30, 2020 @ 18:58:23.000","2020-06-30T18:58:23Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,24,29,
"Jun 30, 2020 @ 18:56:56.000","2020-06-30T18:56:48Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,27,,
"Jun 30, 2020 @ 18:56:32.000","2020-06-30T18:56:32Z","safecast:872300871","Solarcast #30013",872300871,"34.165","-118.135",,,,,,33,41,"3.598"
"Jun 30, 2020 @ 18:43:12.000","2020-06-30T18:43:12Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,28,27,
"Jun 30, 2020 @ 18:42:31.000","2020-06-30T18:42:27Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,27,,"3.878"
"Jun 30, 2020 @ 18:42:14.000","2020-06-30T18:42:12Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,,,
"Jun 30, 2020 @ 18:41:57.000","2020-06-30T18:41:48Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,2,2,2,,,
"Jun 30, 2020 @ 18:28:50.000","2020-06-30T18:28:50Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,,,
"Jun 30, 2020 @ 18:28:37.000","2020-06-30T18:28:37Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,0,0,0,,,
"Jun 30, 2020 @ 18:28:12.000","2020-06-30T18:28:12Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,22,28,
"Jun 30, 2020 @ 18:26:56.000","2020-06-30T18:26:48Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,23,,
"Jun 30, 2020 @ 18:13:12.000","2020-06-30T18:13:12Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,26,29,
"Jun 30, 2020 @ 18:12:31.000","2020-06-30T18:12:27Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,31,,"3.879"
"Jun 30, 2020 @ 18:12:14.000","2020-06-30T18:12:12Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,,,
"Jun 30, 2020 @ 18:11:57.000","2020-06-30T18:11:48Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,1,2,2,,,
"Jun 30, 2020 @ 17:58:55.000","2020-06-30T17:58:55Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,,,
"Jun 30, 2020 @ 17:58:38.000","2020-06-30T17:58:38Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,0,0,0,,,
"Jun 30, 2020 @ 17:58:12.000","2020-06-30T17:58:12Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,32,32,
"Jun 30, 2020 @ 17:56:56.000","2020-06-30T17:56:48Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,26,,
"Jun 30, 2020 @ 17:43:12.000","2020-06-30T17:43:12Z","safecast:3714913954","Solarcast #30027",3714913954,"52.395","4.875",,,,,,24,32,
"Jun 30, 2020 @ 17:42:31.000","2020-06-30T17:42:27Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,30,,"3.881"
"Jun 30, 2020 @ 17:42:14.000","2020-06-30T17:42:12Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,,,,,,
"Jun 30, 2020 @ 17:41:57.000","2020-06-30T17:41:48Z","safecast:678194983","Solarcast #30030",678194983,"46.555","15.636",,,1,2,2,,,
"Jun 30, 2020 @ 17:33:22.000","2020-06-30T17:33:22Z","safecast:1238569003","Solarcast #30002",1238569003,"37.523","139.939",,,,,,49,53,"3.89"
